delivery_date,sku_id,total_qty
2021/1/15,BK-5212,2
2021/1/15,BK-5216,6
2021/1/15,BK-5217,1
2021/1/15,BK-5221,0
2021/1/15,BK-5292,15
2021/1/15,BK-5293,49
2021/1/15,BK-5297,0
2021/1/15,BK-5298,4
2021/1/15,BK-5299,10
2021/1/15,BK-5300,1
2021/1/15,BK-5301,6
2021/1/15,BK-5303,0
2021/1/15,BK-5308,0
2021/1/15,BK-5313,0
2021/1/15,BK-5316,1
2021/1/15,BK-5317,2
2021/1/15,BK-5322,0
2021/1/15,BK-5324,2
2021/1/15,BK-5328,4
2021/1/15,BK-5329,1
2021/1/15,BK-5330,0
2021/1/15,BK-5331,1
2021/1/15,BK-5332,2
2021/1/15,BK-5333,0
2021/1/15,BK-5334,0
2021/1/15,BK-5335,0
2021/1/15,BK-5337,0
2021/1/15,BK-5338,0
2021/1/15,BK-5339,3
2021/1/15,BK-5342,0
2021/1/15,BK-5348,0
2021/1/15,BK-5349,0
2021/1/15,BK-5350,0
2021/1/15,BK-5351,0
2021/1/15,BK-5440,3
2021/1/15,BK-5442,0
2021/1/15,BK-5443,0
2021/1/15,BK-5444,0
2021/1/15,BK-5445,0
2021/1/15,BK-5446,0
2021/1/15,BK-5447,0
2021/1/15,BK-5448,0
2021/1/15,BK-5449,0
2021/1/15,BK-5450,0
2021/1/15,BK-5451,0
2021/1/15,BK-5452,0
2021/1/15,BK-5453,0
2021/1/15,BK-6101,1
2021/1/15,BK-6220,8
2021/1/15,BK-6221,0
2021/1/15,BK-6222,0
2021/1/15,BK-6311,0
2021/1/15,BK-6320,0
2021/1/15,BK-6321,0
2021/1/15,BK-7812,6
2021/1/15,BK-9507,0
2021/1/15,BK-9508,0
2021/1/15,BK-9509,0
2021/1/15,BK-9511,0
2021/1/15,BK-9515,0
2021/1/15,BK-9516,0
2021/1/15,BK-9517,0
2021/1/15,BK-9518,0
2021/1/15,BK-9519,0
2021/1/15,BK-9520,0
2021/1/15,BK-9521,0
2021/1/15,BK-9522,0
2021/1/15,BK-9526,0
2021/1/15,BK-9528,0
2021/1/16,BK-1135,0
2021/1/16,BK-1211,0
2021/1/16,BK-1214,44
2021/1/16,BK-1215,0
2021/1/16,BK-1216,0
2021/1/16,BK-1217,0
2021/1/16,BK-1218,0
2021/1/16,BK-1320,63
2021/1/16,BK-1332,19
2021/1/16,BK-1333,24
2021/1/16,BK-1334,15
2021/1/16,BK-1341,37
2021/1/16,BK-1345,1
2021/1/16,BK-1346,0
2021/1/16,BK-1349,0
2021/1/16,BK-1350,0
2021/1/16,BK-1351,0
2021/1/16,BK-1411,1
2021/1/16,BK-1412,8
2021/1/16,BK-1414,0
2021/1/16,BK-1617,38
2021/1/16,BK-1619,32
2021/1/16,BK-1704,31
2021/1/16,BK-1810,3
2021/1/16,BK-1854,15
2021/1/16,BK-1860,25
2021/1/16,BK-1862,0
